J10-,Signal,FPGA Pin,,J10-,Signal,FPGA Pin
1,GND,,,2,GND,
3,NC,,,4,NC,
5,NC,,,6,NC,
7,NC,,,8,NC,
9,NC,,,10,NC,
11,I/O_0,PIN_T11,,12,NC,
13,I/O_1,PIN_F13,,14,I/O_2,PIN_F14
15,I/O_3,PIN_J14,,16,I/O_4,PIN_K16
17,I/O_5,PIN_K15,,18,I/O_6,PIN_R11
19,I/O_7,PIN_E10,,20,I/O_8,PIN_F9
21,I/O_9,PIN_L14,,22,I/O_10,PIN_L13
23,I/O_11,PIN_L16,,24,I/O_12,PIN_L15
25,I/O_13,PIN_J15,,26,I/O_14,PIN_N12
27,I/O_15,PIN_J16,,28,I/O_16,PIN_N15
29,I/O_17,PIN_N16,,30,I/O_18,PIN_N14
31,I/O_19,PIN_P16,,32,I/O_20,PIN_P15
33,I/O_21,PIN_P14,,34,I/O_22,PIN_T15
35,I/O_23,PIN_R16,,36,NC,
37,NC,,,38,LCD_VCC,
39,GND,,,40,GND,
